sec,pd_true,pf_true,pd_hat_rule,pf_hat_rule,pd_var_rule,pf_var_rule,pd_ci_low_rule,pd_ci_high_rule,pf_ci_low_rule,pf_ci_high_rule,pd_hat_global,pf_hat_global,pd_var_global,pf_var_global,pd_ci_low_global,pd_ci_high_global,pf_ci_low_global,pf_ci_high_global,pd_hat_full,pf_hat_full,pd_var_full,pf_var_full,pd_ci_low_full,pd_ci_high_full,pf_ci_low_full,pf_ci_high_full
247,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9535327131682363,0.012673017379448202,0.000654799183540764,0.00018491249275785844,0.90337818651819,1.0,0.0,0.03932559384362121,0.8857945888236336,0.028408509093967506,0.002547299713462171,0.00024080143082163858,0.7868718584769824,0.9847173191702848,0.0,0.05882335376962559
248,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9535846357486987,0.022796830679462563,0.0006541031262963606,0.0003292187466566674,0.9034567735363511,1.0,0.0,0.05835982741984222,0.8859555902559504,0.03711012771180607,0.0025461460124368237,0.0003103944113455537,0.7870552640614564,0.9848559164504443,0.0025788206032548652,0.07164143482035729
249,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9263946154740685,0.011395079249680275,0.0010076989935180506,0.0001664812524912384,0.8641758365283279,0.9886133944198092,0.0,0.036684491650334064,0.8806503278609916,0.034446435514251625,0.002583543503215357,0.0002897626538879144,0.7810263311435736,0.9802743245784097,0.0010824997276000156,0.06781037130090323
250,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9353245984270592,0.03298680177218533,0.0008939777439062044,0.00047140895587725987,0.8767216556597367,0.9939275411943816,0.0,0.07554223203552636,0.8817146733701788,0.03753643640248725,0.002576143145818285,0.0003127879635060969,0.7822334615310806,0.981195885209277,0.002872243917950393,0.07220062888702411
251,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9281184788355739,0.0037424620258334363,0.0009859295775297694,5.5100335031802476e-05,0.8665754283340074,0.9896615293371404,0.0,0.018291463608697205,0.8800729430747586,0.030715101660438397,0.0025875365450412214,0.00026023422351125744,0.780371988257714,0.9797738978918031,0.0,0.06233338423620216
252,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9093139310999642,0.011885649102345965,0.0012186518099629627,0.0001735622726270228,0.8408919113025793,0.977735950897349,0.0,0.03770728395616517,0.8786922928782127,0.03172251375512861,0.002507584219563623,0.0002677340767198125,0.7805437547440377,0.9768408310123877,0.0,0.06379317369730679
253,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9204819336766583,0.013624885265085415,0.0010816986716976115,0.00019860957290539916,0.8560191256615436,0.984944741691773,0.0,0.04124695135857996,0.8802428912665579,0.03183656541396738,0.002497125067412047,0.0002682837046884278,0.7822992561544684,0.9781865263786473,0.0,0.06394012720905584
254,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9245908159593715,0.008859905216128172,0.0010303838276298812,0.00012977449205452322,0.8616756149963057,0.9875060169224373,0.0,0.0311879523469602,0.8808068064306052,0.03684970502269132,0.0024932942878264923,0.0003087121016606874,0.7829383266420938,0.9786752862191165,0.0024121033387805094,0.07128730670660213
255,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9180498377049177,0.0010051856209898524,0.001111837436377715,1.484002792399816e-05,0.8526951538973386,0.9834045215124967,0.0,0.008555645956150307,0.8795443285261881,0.03377472213317706,0.002501850534599863,0.0002843612496713548,0.7815080647575253,0.977580592294851,0.0007232141987805335,0.06682623006757359
256,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9218430295757937,0.02400672772058734,0.0010647555428322597,0.0003462621390847825,0.8578870689986559,0.9857989901529315,0.0,0.06047864340249388,0.880109582195173,0.044927650349154434,0.0024980285528640074,0.00037143780126043703,0.782148230179787,0.978070934210559,0.007153115840810131,0.08270218485749874
