method,track_id,lane,eid,time_ms,dev,true_vid,residual_ms,innovation_var,reliability
global,302,1,6268,273572,35,175.0,361.50093764957273,33727.90633636575,0.9166001205429017
global,302,1,6269,274384,36,175.0,37.293453173013404,33946.56648567386,0.8941977922827047
global,302,1,6270,275085,37,175.0,188.5099448185647,33695.082587428704,0.9200602661976264
global,302,1,6271,275939,38,175.0,66.00537832407281,33695.082587428704,0.9200602661976264
global,302,1,6272,276637,39,175.0,244.62690307188313,33748.09031286732,0.9144853006641943
global,302,1,6273,277346,40,175.0,250.13547484145965,33609.46961377504,0.9292093890662089
global,302,1,6274,278004,41,175.0,313.03979892947245,33655.6740466116,0.9242492215995273
global,302,1,6275,278807,42,175.0,176.55019006837392,33655.6740466116,0.9242492215995273
global,302,1,6276,279565,43,175.0,227.59677005343838,33988.03918525633,0.8900717759578664
global,302,1,6277,280352,44,175.0,202.87398483994184,34079.06194322136,0.881148300345389
global,302,1,6278,281102,45,175.0,242.89019117841963,34175.85844379569,0.871853031408658
global,302,1,6279,281845,46,175.0,252.01249576441478,34175.85844379569,0.871853031408658
global,302,1,6280,282587,47,175.0,254.50351541559212,34341.47285403858,0.856396001465805
global,302,1,6281,283381,48,175.0,203.54989076015772,33985.52456545248,0.8903208646002015
global,302,1,6282,284939,50,175.0,438.5673239348107,34015.40034410238,0.8873704654983376
global,302,1,6283,285537,51,175.0,322.54532445041696,33961.6486395778,0.8926928874079242
global,302,1,6284,286311,52,175.0,169.0236150614801,33767.19739311212,0.9124922870203812
global,302,1,6285,287142,53,175.0,128.4229504648829,33743.81078534463,0.914932881828674
global,302,1,6286,287913,54,175.0,200.24604006845038,33743.81078534463,0.914932881828674
global,302,1,6287,288644,55,175.0,248.69709134130972,33713.99893334062,0.9180629996856219
global,302,1,6288,289399,56,175.0,230.70086975838058,33705.47490228187,0.9189619279590422
global,302,1,6289,290088,57,175.0,300.94748616951983,33945.53952623625,0.8943004473388002
global,302,1,6290,290867,58,175.0,213.9419549900922,33945.53952623625,0.8943004473388002
global,302,1,6291,291581,59,175.0,281.0488849352114,33702.26905408962,0.9193004663812836
global,302,1,6292,292404,60,175.0,173.5290639534942,33986.44005143256,0.8902301639150968
global,302,1,6293,293077,61,175.0,324.56781217694515,34211.08996156122,0.8685182788773945
global,302,1,6294,293779,62,175.0,296.2962253539008,34211.08996156122,0.8685182788773945
